pmid,title,year,journal,n_authors,authors,affiliations,primary_country,primary_region,all_countries
42105298,"Safety and efficacy of ashwagen (a standardized withania somnifera extract) in stress and anxiety with hypertension and associated cardiometabolic risk factors: a randomized, placebo-controlled trial.",2026,"Stress (Amsterdam, Netherlands)",7,Pattojoshi Amrit; Kumar Patra Sudeep; Idrees S A; Behera Saiprasanna; Dalua Snigdha Suman,"Hi-Tech Medical College & Hospital, Health Park, Pandra, Rasulgarh, Bhubaneswar, India. | Indivirtus Healthcare Services Pvt. Ltd., TDI City, India. | Scientific and Medical Affairs, A 36, Dr. Willmar Schwabe India Pvt. Ltd., Noida Sector 60, India.",India,Global South,India
41416765,Methodological insights and correlations of short-term BP variability indices.,2026,Blood pressure,10,Fuchs Sandra C; Procianoy Guilherme S; Lucca Marcelo B; Valter Leonardo K; Tavares Arthur L,"Postgraduate Program of Cardiology, School of Medicine, Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, Brazil. | Lab. PREVER, Hospital de Clínicas de Porto Alegre, Porto Alegre, RS, Brazil. | Division of Cardiology, Hospital de Clínicas de Porto Alegre, Porto Alegre, RS, Brazil.",Brazil,Global South,Brazil
40583484,Factors associated with blood pressure control in Swedish primary care patients with hypertension: a cross-sectional study.,2026,Scandinavian journal of primary health care,6,Brodin Niklas; Wolff Moa; Borgström Bolmsjö Beata; Milos Nymberg Veronica; Nymberg Peter,"Office for Primary Care, Skåne University Hospital, Malmö, Sweden. | Department of Clinical Sciences, Center for Primary Health Care Research, Lund University, Malmö, Sweden.",Sweden,Global North,Sweden
42030576,Dietary therapy intervention reduces C-reactive protein in individuals diagnosed with hypertension.,2026,"Nutrition (Burbank, Los Angeles County, Calif.)",5,Silva Miriam Aparecida de Assis; Carraro Júlia Cristina Cardoso; Vieira Renata Adrielle Lima; Mendonça Raquel de Deus; do Amaral Joana Ferreira,"Department of Health and Nutrition, Federal University of Ouro Preto, Ouro Preto, Minas Gerais, Brazil. | Department of Clinical and Social Nutrition, School of Nutrition, Federal University of Ouro Preto, Ouro Preto, Minas Gerais, Brazil. | Department of Nutrition, School of Nutrition, Federal University of Paraíba, João Pessoa, Paraíba, Brazil.",Brazil,Global South,Brazil; Brazil. Electronic address:
41747920,Remote dietitian counseling with short-term meal delivery improves DASH diet adherence and lowers blood pressure in veterans with hypertension and obesity.,2026,American heart journal,6,Atluri Namratha; Herty Lauren; Runge Carly; Wells Joanna; Scisney-Matlock Margaret,"Department of Internal Medicine, University of Michigan, Ann Arbor, MI. | Department of Medicine, VA Ann Arbor Health System, Ann Arbor, MI. | School of Nursing, University of Michigan, Ann Arbor, MI.",Ann Arbor,Unknown,Ann Arbor; MI. Electronic address:
41713761,Integration of a task strengthening strategy for hypertension management into HIV care in Nigeria: Baseline characteristics of participants in a cluster randomized controlled trial.,2026,American heart journal,19,Chen Weixi; Musa Adesola Z; Odubela Oluwatosin; Onakomaiya Deborah; Mishra Shivani,"Division of Biostatistics, NYU Grossman School of Medicine, New York, NY; Department of Population Health, NYU Grossman School of Medicine, New York, NY. | Clinical Sciences Department, Nigerian Institute of Medical Research, Lagos, Nigeria. | Department of Population Health, NYU Grossman School of Medicine, New York, NY; Institute for Excellence in Health Equity, NYU Grossman School of Medicine, New York, NY; Vilcek Institute of Graduate Biomedical Sciences, NYU Grossman School of Medicine, New York, NY.",New York,Unknown,New York; Nigeria; Maywood; NY. Electronic address:; Saint Louis
42133960,What Have We Learned From the Idiopathic Intracranial Hypertension Treatment Trial the William F. Hoyt Lecture.,2026,Journal of neuro-ophthalmology : the official journal of the North American Neuro-Ophthalmology Society,1,Wall Michael,"Departments of Ophthalmology and Visual Sciences and Neurology, University of Iowa, Iowa City, Iowa.",Iowa,Unknown,Iowa
42082343,Aerobic Exercise Plus Hypocaloric Diet on Serum Leptin Concentrations in Adults With Primary Hypertension and Overweight/Obesity: Results From the EXERDIET-HTA Trial.,2026,Clinical obesity,5,Aparicio Virginia A; Corres Pablo; Gorostegi-Anduaga Ilargi; Margareto Javier; Maldonado-Martín Sara,"Department of Physiology, Institute of Nutrition and Food Technology, Biomedical Research Centre, Sport and Health Research Centre, University of Granada, Granada, Spain. | Department of Physical Education and Sport, Faculty of Education and Sport-Physical Activity and Sport Sciences Section, University of the Basque Country (UPV/EHU), Vitoria-Gasteiz, Araba/Álava, Basque Country, Spain. | Bioaraba Health Research Institute, Physical Activity, Exercise, and Health Group, Vitoria-Gasteiz, Basque Country, Spain.",Spain,Global North,Spain
42044642,"Safety and efficacy of the anti-α-synuclein monoclonal antibody amlenetug for the treatment of patients with multiple system atrophy (AMULET): a phase 2, randomised, double-blind, multicentre trial.",2026,The Lancet. Neurology,15,Kjærsgaard Lotte; Wiedemann Jonas; Singer Wolfgang; Takeda Atsushi; Berger Anna-Karin,"Research and Development, H Lundbeck, Copenhagen, Denmark. | Department of Neurology, Mayo Clinic, Rochester, MN, USA. | Department of Neurology, National Hospital Organization, Sendai-Nishitaga Hospital, Sendai, Japan.",Denmark,Global North,Denmark; USA; Japan; Denmark. Electronic address:
41935461,"Effects of a combination of olive leaf extract and potassium on blood pressure in participants with mild to moderate hypertension: A double blind, randomized, placebo-controlled trial.",2026,Phytomedicine : international journal of phytotherapy and phytopharmacology,6,Fladerer-Grollitsch Johannes-Paul; Bucar Franz; Klein Thomas; Kompek Albert; Menzel Daniel,"Karl-Franzens-Universität Graz, Beethovenstraße 8, 8010 Graz, AT; Apomedica Pharmazeutische Produkte GmbH, Roseggerkai 3, 8010 Graz, AT. Electronic address: johannes.fladerer@uni-graz.at. | Karl-Franzens-Universität Graz, Beethovenstraße 8, 8010 Graz, AT. | Apomedica Pharmazeutische Produkte GmbH, Roseggerkai 3, 8010 Graz, AT.",AT. Electronic address:,Unknown,AT. Electronic address:; 8010 Graz; 73728 Essingen
